# Preset Configuration File
layer_num=0,v=5.3,r=6370
layer_num=1346,v=10.193333333333333,r=5024
layer_num=1347,v=10.195,r=5023
layer_num=1348,v=10.196666666666665,r=5022
layer_num=1349,v=10.198333333333332,r=5021
layer_num=1350,v=10.2,r=5020
layer_num=1351,v=10.201666666666666,r=5019
layer_num=1352,v=10.203333333333333,r=5018
layer_num=1353,v=10.205,r=5017
layer_num=1354,v=10.206666666666667,r=5016
layer_num=1355,v=10.208333333333332,r=5015
layer_num=1356,v=10.209999999999999,r=5014
layer_num=1357,v=10.211666666666666,r=5013
layer_num=1358,v=10.213333333333333,r=5012
layer_num=1359,v=10.215,r=5011
layer_num=1360,v=10.216666666666665,r=5010
layer_num=1361,v=10.218333333333334,r=5009
layer_num=1362,v=10.219999999999999,r=5008
layer_num=1363,v=10.221666666666666,r=5007
layer_num=1364,v=10.223333333333333,r=5006
layer_num=1365,v=10.225,r=5005
layer_num=1366,v=10.226666666666667,r=5004
layer_num=1367,v=10.228333333333332,r=5003
layer_num=1368,v=10.23,r=5002
layer_num=1369,v=10.231666666666666,r=5001
layer_num=1370,v=10.233333333333333,r=5000
layer_num=1371,v=10.235,r=4999
layer_num=1372,v=10.236666666666666,r=4998
layer_num=1373,v=10.238333333333333,r=4997
layer_num=1374,v=10.239999999999998,r=4996
layer_num=1375,v=10.241666666666667,r=4995
layer_num=1376,v=10.243333333333332,r=4994
layer_num=1377,v=10.245,r=4993
layer_num=1378,v=10.246666666666666,r=4992
layer_num=1379,v=10.248333333333333,r=4991
layer_num=1380,v=10.25,r=4990
layer_num=1381,v=10.251666666666665,r=4989
layer_num=1382,v=10.253333333333334,r=4988
layer_num=1383,v=10.254999999999999,r=4987
layer_num=1384,v=10.256666666666666,r=4986
layer_num=1385,v=10.258333333333333,r=4985
layer_num=1386,v=10.26,r=4984
layer_num=1387,v=10.261666666666667,r=4983
layer_num=1388,v=10.263333333333332,r=4982
layer_num=1389,v=10.264999999999999,r=4981
layer_num=1390,v=10.266666666666666,r=4980
layer_num=1391,v=10.268333333333333,r=4979
layer_num=1392,v=10.27,r=4978
layer_num=1393,v=10.271666666666667,r=4977
layer_num=1394,v=10.273333333333333,r=4976
layer_num=1395,v=10.274999999999999,r=4975
layer_num=1396,v=10.276666666666666,r=4974
layer_num=1397,v=10.278333333333332,r=4973
layer_num=1398,v=10.28,r=4972
layer_num=1399,v=10.281666666666666,r=4971
layer_num=1400,v=10.283333333333333,r=4970
layer_num=1401,v=10.285,r=4969
layer_num=1402,v=10.286666666666665,r=4968
layer_num=1403,v=10.288333333333332,r=4967
layer_num=1404,v=10.29,r=4966
layer_num=1405,v=10.291666666666666,r=4965
layer_num=1406,v=10.293333333333333,r=4964
layer_num=1407,v=10.295,r=4963
layer_num=1408,v=10.296666666666667,r=4962
layer_num=1409,v=10.298333333333332,r=4961
layer_num=1410,v=10.299999999999999,r=4960
layer_num=1411,v=10.301666666666666,r=4959
layer_num=1412,v=10.303333333333333,r=4958
layer_num=1413,v=10.305,r=4957
layer_num=1414,v=10.306666666666667,r=4956
layer_num=1415,v=10.308333333333334,r=4955
layer_num=1416,v=10.309999999999999,r=4954
layer_num=1417,v=10.311666666666666,r=4953
layer_num=1418,v=10.313333333333333,r=4952
layer_num=1419,v=10.315,r=4951
layer_num=1420,v=10.316666666666666,r=4950
layer_num=1421,v=10.318333333333333,r=4949
layer_num=1422,v=10.32,r=4948
layer_num=1423,v=10.321666666666665,r=4947
layer_num=1424,v=10.323333333333332,r=4946
layer_num=1425,v=10.325,r=4945
layer_num=1426,v=10.326666666666666,r=4944
layer_num=1427,v=10.328333333333333,r=4943
layer_num=1428,v=10.33,r=4942
layer_num=1429,v=10.331666666666667,r=4941
layer_num=1430,v=10.333333333333332,r=4940
layer_num=1431,v=10.334999999999999,r=4939
layer_num=1432,v=10.336666666666666,r=4938
layer_num=1433,v=10.338333333333333,r=4937
layer_num=1434,v=10.34,r=4936
layer_num=1435,v=10.341666666666665,r=4935
layer_num=1436,v=10.343333333333334,r=4934
layer_num=1437,v=10.344999999999999,r=4933
layer_num=1438,v=10.346666666666666,r=4932
layer_num=1439,v=10.348333333333333,r=4931
layer_num=1440,v=10.35,r=4930
layer_num=1441,v=10.351666666666667,r=4929
layer_num=1442,v=10.353333333333332,r=4928
layer_num=1443,v=10.355,r=4927
layer_num=1444,v=10.356666666666666,r=4926
layer_num=1445,v=10.358333333333333,r=4925
layer_num=1446,v=10.36,r=4924
layer_num=1447,v=10.361666666666666,r=4923
layer_num=1448,v=10.363333333333333,r=4922
layer_num=1449,v=10.364999999999998,r=4921
layer_num=1450,v=10.366666666666667,r=4920
layer_num=1451,v=10.368333333333332,r=4919
layer_num=1452,v=10.37,r=4918
layer_num=1453,v=10.371666666666666,r=4917
layer_num=1454,v=10.373333333333333,r=4916
layer_num=1455,v=10.375,r=4915
layer_num=1456,v=10.376666666666665,r=4914
layer_num=1457,v=10.378333333333334,r=4913
layer_num=1458,v=10.379999999999999,r=4912
layer_num=1459,v=10.381666666666666,r=4911
layer_num=1460,v=10.383333333333333,r=4910
layer_num=1461,v=10.385,r=4909
layer_num=1462,v=10.386666666666667,r=4908
layer_num=1463,v=10.388333333333332,r=4907
layer_num=1464,v=10.389999999999999,r=4906
layer_num=1465,v=10.391666666666666,r=4905
layer_num=1466,v=10.393333333333333,r=4904
layer_num=1467,v=10.395,r=4903
layer_num=1468,v=10.396666666666667,r=4902
layer_num=1469,v=10.398333333333333,r=4901
layer_num=1470,v=10.399999999999999,r=4900
layer_num=1471,v=10.401666666666666,r=4899
layer_num=1472,v=10.403333333333332,r=4898
layer_num=1473,v=10.405,r=4897
layer_num=1474,v=10.406666666666666,r=4896
layer_num=1475,v=10.408333333333333,r=4895
layer_num=1476,v=10.41,r=4894
layer_num=1477,v=10.411666666666665,r=4893
layer_num=1478,v=10.413333333333332,r=4892
layer_num=1479,v=10.415,r=4891
layer_num=1480,v=10.416666666666666,r=4890
layer_num=1481,v=10.418333333333333,r=4889
layer_num=1482,v=10.42,r=4888
layer_num=1483,v=10.421666666666667,r=4887
layer_num=1484,v=10.423333333333332,r=4886
layer_num=1485,v=10.424999999999999,r=4885
layer_num=1486,v=10.426666666666666,r=4884
layer_num=1487,v=10.428333333333333,r=4883
layer_num=1488,v=10.43,r=4882
layer_num=1489,v=10.431666666666667,r=4881
layer_num=1490,v=10.433333333333334,r=4880
layer_num=1491,v=10.434999999999999,r=4879
layer_num=1492,v=10.436666666666666,r=4878
layer_num=1493,v=10.438333333333333,r=4877
layer_num=1494,v=10.44,r=4876
layer_num=1495,v=10.441666666666666,r=4875
layer_num=1496,v=10.443333333333333,r=4874
layer_num=1497,v=10.445,r=4873
layer_num=1498,v=10.446666666666665,r=4872
layer_num=1499,v=10.448333333333332,r=4871
layer_num=1500,v=10.45,r=4870
layer_num=1501,v=10.451666666666666,r=4869
layer_num=1502,v=10.453333333333333,r=4868
layer_num=1503,v=10.455,r=4867
layer_num=1504,v=10.456666666666667,r=4866
layer_num=1505,v=10.458333333333332,r=4865
layer_num=1506,v=10.459999999999999,r=4864
layer_num=1507,v=10.461666666666666,r=4863
layer_num=1508,v=10.463333333333333,r=4862
layer_num=1509,v=10.465,r=4861
layer_num=1510,v=10.466666666666665,r=4860
layer_num=1511,v=10.468333333333334,r=4859
layer_num=1512,v=10.469999999999999,r=4858
layer_num=1513,v=10.471666666666666,r=4857
layer_num=1514,v=10.473333333333333,r=4856
layer_num=1515,v=10.475,r=4855
layer_num=1516,v=10.476666666666667,r=4854
layer_num=1517,v=10.478333333333332,r=4853
layer_num=1518,v=10.48,r=4852
layer_num=1519,v=10.481666666666666,r=4851
layer_num=1520,v=10.483333333333333,r=4850
layer_num=1521,v=10.485,r=4849
layer_num=1522,v=10.486666666666666,r=4848
layer_num=1523,v=10.488333333333333,r=4847
layer_num=1524,v=10.489999999999998,r=4846
layer_num=1525,v=10.491666666666667,r=4845
layer_num=1526,v=10.493333333333332,r=4844
layer_num=1527,v=10.495,r=4843
layer_num=1528,v=10.496666666666666,r=4842
layer_num=1529,v=10.498333333333333,r=4841
layer_num=1530,v=10.5,r=4840
layer_num=1531,v=10.501666666666665,r=4839
layer_num=1532,v=10.503333333333334,r=4838
layer_num=1533,v=10.504999999999999,r=4837
layer_num=1534,v=10.506666666666666,r=4836
layer_num=1535,v=10.508333333333333,r=4835
layer_num=1536,v=10.51,r=4834
layer_num=1537,v=10.511666666666667,r=4833
layer_num=1538,v=10.513333333333332,r=4832
layer_num=1539,v=10.514999999999999,r=4831
layer_num=1540,v=10.516666666666666,r=4830
layer_num=1541,v=10.518333333333333,r=4829
layer_num=1542,v=10.52,r=4828
layer_num=1543,v=10.521666666666667,r=4827
layer_num=1544,v=10.523333333333333,r=4826
layer_num=1545,v=10.524999999999999,r=4825
layer_num=1546,v=10.526666666666666,r=4824
layer_num=1547,v=10.528333333333332,r=4823
layer_num=1548,v=10.53,r=4822
layer_num=1549,v=10.531666666666666,r=4821
layer_num=1550,v=10.533333333333333,r=4820
layer_num=1551,v=10.535,r=4819
layer_num=1552,v=10.536666666666665,r=4818
layer_num=1553,v=10.538333333333332,r=4817
layer_num=1554,v=10.54,r=4816
layer_num=1555,v=10.541666666666666,r=4815
layer_num=1556,v=10.543333333333333,r=4814
layer_num=1557,v=10.545,r=4813
layer_num=1558,v=10.546666666666667,r=4812
layer_num=1559,v=10.548333333333332,r=4811
layer_num=1560,v=10.549999999999999,r=4810
layer_num=1561,v=10.551666666666666,r=4809
layer_num=1562,v=10.553333333333333,r=4808
layer_num=1563,v=10.555,r=4807
layer_num=1564,v=10.556666666666667,r=4806
layer_num=1565,v=10.558333333333334,r=4805
layer_num=1566,v=10.559999999999999,r=4804
layer_num=1567,v=10.561666666666666,r=4803
layer_num=1568,v=10.563333333333333,r=4802
layer_num=1569,v=10.565,r=4801
layer_num=1570,v=10.566666666666666,r=4800
layer_num=1571,v=10.568333333333333,r=4799
layer_num=1572,v=10.57,r=4798
layer_num=1573,v=10.571666666666665,r=4797
layer_num=1574,v=10.573333333333332,r=4796
layer_num=1575,v=10.575,r=4795
layer_num=1576,v=10.576666666666666,r=4794
layer_num=1577,v=10.578333333333333,r=4793
layer_num=1578,v=10.58,r=4792
layer_num=1579,v=10.581666666666667,r=4791
layer_num=1580,v=10.583333333333332,r=4790
layer_num=1581,v=10.584999999999999,r=4789
layer_num=1582,v=10.586666666666666,r=4788
layer_num=1583,v=10.588333333333333,r=4787
layer_num=1584,v=10.59,r=4786
layer_num=1585,v=10.591666666666665,r=4785
layer_num=1586,v=10.593333333333334,r=4784
layer_num=1587,v=10.594999999999999,r=4783
layer_num=1588,v=10.596666666666666,r=4782
layer_num=1589,v=10.598333333333333,r=4781
layer_num=1590,v=10.6,r=4780
layer_num=1591,v=10.601666666666667,r=4779
layer_num=1592,v=10.603333333333332,r=4778
layer_num=1593,v=10.605,r=4777
layer_num=1594,v=10.606666666666666,r=4776
layer_num=1595,v=10.608333333333333,r=4775
layer_num=1596,v=10.61,r=4774
layer_num=1597,v=10.611666666666666,r=4773
layer_num=1598,v=10.613333333333333,r=4772
layer_num=1599,v=10.614999999999998,r=4771
layer_num=1600,v=10.616666666666667,r=4770
layer_num=1601,v=10.618333333333332,r=4769
layer_num=1602,v=10.62,r=4768
layer_num=1603,v=10.621666666666666,r=4767
layer_num=1604,v=10.623333333333333,r=4766
layer_num=1605,v=10.625,r=4765
layer_num=1606,v=10.626666666666665,r=4764
layer_num=1607,v=10.628333333333334,r=4763
layer_num=1608,v=10.629999999999999,r=4762
layer_num=1609,v=10.631666666666666,r=4761
layer_num=1610,v=10.633333333333333,r=4760
layer_num=1611,v=10.635,r=4759
layer_num=1612,v=10.636666666666667,r=4758
layer_num=1613,v=10.638333333333332,r=4757
layer_num=1614,v=10.639999999999999,r=4756
layer_num=1615,v=10.641666666666666,r=4755
layer_num=1616,v=10.643333333333333,r=4754
layer_num=1617,v=10.645,r=4753
layer_num=1618,v=10.646666666666667,r=4752
layer_num=1619,v=10.648333333333333,r=4751
layer_num=1620,v=10.649999999999999,r=4750
layer_num=1621,v=10.651666666666666,r=4749
layer_num=1622,v=10.653333333333332,r=4748
layer_num=1623,v=10.655,r=4747
layer_num=1624,v=10.656666666666666,r=4746
layer_num=1625,v=10.658333333333333,r=4745
layer_num=1626,v=10.66,r=4744
layer_num=1627,v=10.661666666666665,r=4743
layer_num=1628,v=10.663333333333332,r=4742
layer_num=1629,v=10.665,r=4741
layer_num=1630,v=10.666666666666666,r=4740
layer_num=1631,v=10.668333333333333,r=4739
layer_num=1632,v=10.67,r=4738
layer_num=1633,v=10.671666666666667,r=4737
layer_num=1634,v=10.673333333333332,r=4736
layer_num=1635,v=10.674999999999999,r=4735
layer_num=1636,v=10.676666666666666,r=4734
layer_num=1637,v=10.678333333333333,r=4733
layer_num=1638,v=10.68,r=4732
layer_num=1639,v=10.681666666666667,r=4731
layer_num=1640,v=10.683333333333334,r=4730
layer_num=1641,v=10.684999999999999,r=4729
layer_num=1642,v=10.686666666666666,r=4728
layer_num=1643,v=10.688333333333333,r=4727
layer_num=1644,v=10.69,r=4726
layer_num=1645,v=10.691666666666666,r=4725
layer_num=1646,v=10.693333333333333,r=4724
layer_num=1647,v=10.695,r=4723
layer_num=1648,v=10.696666666666665,r=4722
layer_num=1649,v=10.698333333333332,r=4721
layer_num=1650,v=10.7,r=4720
layer_num=1651,v=10.701666666666666,r=4719
layer_num=1652,v=10.703333333333333,r=4718
layer_num=1653,v=10.705,r=4717
layer_num=1654,v=10.706666666666667,r=4716
layer_num=1655,v=10.708333333333332,r=4715
layer_num=1656,v=10.709999999999999,r=4714
layer_num=1657,v=10.711666666666666,r=4713
layer_num=1658,v=10.713333333333333,r=4712
layer_num=1659,v=10.715,r=4711
layer_num=1660,v=10.716666666666665,r=4710
layer_num=1661,v=10.718333333333334,r=4709
layer_num=1662,v=10.719999999999999,r=4708
layer_num=1663,v=10.721666666666666,r=4707
layer_num=1664,v=10.723333333333333,r=4706
layer_num=1665,v=10.725,r=4705
layer_num=1666,v=10.726666666666667,r=4704
layer_num=1667,v=10.728333333333332,r=4703
layer_num=1668,v=10.73,r=4702
layer_num=1669,v=10.731666666666666,r=4701
layer_num=1670,v=10.733333333333333,r=4700
layer_num=1671,v=10.735,r=4699
layer_num=1672,v=10.736666666666666,r=4698
layer_num=1673,v=10.738333333333333,r=4697
layer_num=1674,v=10.739999999999998,r=4696
layer_num=1675,v=10.741666666666667,r=4695
layer_num=1676,v=10.743333333333332,r=4694
layer_num=1677,v=10.745,r=4693
layer_num=1678,v=10.746666666666666,r=4692
layer_num=1679,v=10.748333333333333,r=4691
layer_num=1680,v=10.75,r=4690
layer_num=1681,v=10.751666666666665,r=4689
layer_num=1682,v=10.753333333333334,r=4688
layer_num=1683,v=10.754999999999999,r=4687
layer_num=1684,v=10.756666666666666,r=4686
layer_num=1685,v=10.758333333333333,r=4685
layer_num=1686,v=10.76,r=4684
layer_num=1687,v=10.761666666666667,r=4683
layer_num=1688,v=10.763333333333332,r=4682
layer_num=1689,v=10.764999999999999,r=4681
layer_num=1690,v=10.766666666666666,r=4680
layer_num=1691,v=10.768333333333333,r=4679
layer_num=1692,v=10.77,r=4678
layer_num=1693,v=10.771666666666667,r=4677
layer_num=1694,v=10.773333333333333,r=4676
layer_num=1695,v=10.774999999999999,r=4675
layer_num=1696,v=10.776666666666666,r=4674
layer_num=1697,v=10.778333333333332,r=4673
layer_num=1698,v=10.78,r=4672
layer_num=1699,v=10.781666666666666,r=4671
layer_num=1700,v=10.783333333333333,r=4670
layer_num=1701,v=10.785,r=4669
layer_num=1702,v=10.786666666666665,r=4668
layer_num=1703,v=10.788333333333332,r=4667
layer_num=1704,v=10.79,r=4666
layer_num=1705,v=10.791666666666666,r=4665
layer_num=1706,v=10.793333333333333,r=4664
layer_num=1707,v=10.795,r=4663
layer_num=1708,v=10.796666666666667,r=4662
layer_num=1709,v=10.798333333333332,r=4661
layer_num=1710,v=10.799999999999999,r=4660
layer_num=1711,v=10.801666666666666,r=4659
layer_num=1712,v=10.803333333333333,r=4658
layer_num=1713,v=10.805,r=4657
layer_num=1714,v=10.806666666666667,r=4656
layer_num=1715,v=10.808333333333334,r=4655
layer_num=1716,v=10.809999999999999,r=4654
layer_num=1717,v=10.811666666666666,r=4653
layer_num=1718,v=10.813333333333333,r=4652
layer_num=1719,v=10.815,r=4651
layer_num=1720,v=10.816666666666666,r=4650
layer_num=1721,v=10.818333333333333,r=4649
layer_num=1722,v=10.82,r=4648
layer_num=1723,v=10.821666666666665,r=4647
layer_num=1724,v=10.823333333333332,r=4646
layer_num=1725,v=10.825,r=4645
layer_num=1726,v=10.826666666666666,r=4644
layer_num=1727,v=10.828333333333333,r=4643
layer_num=1728,v=10.83,r=4642
layer_num=1729,v=10.831666666666667,r=4641
layer_num=1730,v=10.833333333333332,r=4640
layer_num=1731,v=10.834999999999999,r=4639
layer_num=1732,v=10.836666666666666,r=4638
layer_num=1733,v=10.838333333333333,r=4637
layer_num=1734,v=10.84,r=4636
layer_num=1735,v=10.841666666666667,r=4635
layer_num=1736,v=10.843333333333334,r=4634
layer_num=1737,v=10.844999999999999,r=4633
layer_num=1738,v=10.846666666666666,r=4632
layer_num=1739,v=10.848333333333333,r=4631
layer_num=1740,v=10.85,r=4630
layer_num=1741,v=10.851666666666667,r=4629
layer_num=1742,v=10.853333333333332,r=4628
layer_num=1743,v=10.855,r=4627
layer_num=1744,v=10.856666666666666,r=4626
layer_num=1745,v=10.858333333333333,r=4625
layer_num=1746,v=10.86,r=4624
layer_num=1747,v=10.861666666666666,r=4623
layer_num=1748,v=10.863333333333333,r=4622
layer_num=1749,v=10.864999999999998,r=4621
layer_num=1750,v=10.866666666666667,r=4620
layer_num=1751,v=10.868333333333332,r=4619
layer_num=1752,v=10.87,r=4618
layer_num=1753,v=10.871666666666666,r=4617
layer_num=1754,v=10.873333333333333,r=4616
layer_num=1755,v=10.875,r=4615
layer_num=1756,v=10.876666666666665,r=4614
layer_num=1757,v=10.878333333333334,r=4613
layer_num=1758,v=10.879999999999999,r=4612
layer_num=1759,v=10.881666666666666,r=4611
layer_num=1760,v=10.883333333333333,r=4610
layer_num=1761,v=10.885,r=4609
layer_num=1762,v=10.886666666666667,r=4608
layer_num=1763,v=10.888333333333332,r=4607
layer_num=1764,v=10.89,r=4606
layer_num=1765,v=10.891666666666666,r=4605
layer_num=1766,v=10.893333333333333,r=4604
layer_num=1767,v=10.895,r=4603
layer_num=1768,v=10.896666666666667,r=4602
layer_num=1769,v=10.898333333333333,r=4601
layer_num=1770,v=10.899999999999999,r=4600
layer_num=1771,v=10.901666666666666,r=4599
layer_num=1772,v=10.903333333333332,r=4598
layer_num=1773,v=10.905,r=4597
layer_num=1774,v=10.906666666666666,r=4596
layer_num=1775,v=10.908333333333333,r=4595
layer_num=1776,v=10.91,r=4594
layer_num=1777,v=10.911666666666665,r=4593
layer_num=1778,v=10.913333333333332,r=4592
layer_num=1779,v=10.915,r=4591
layer_num=1780,v=10.916666666666666,r=4590
layer_num=1781,v=10.918333333333333,r=4589
layer_num=1782,v=10.92,r=4588
layer_num=1783,v=10.921666666666667,r=4587
layer_num=1784,v=10.923333333333332,r=4586
layer_num=1785,v=10.924999999999999,r=4585
layer_num=1786,v=10.926666666666666,r=4584
layer_num=1787,v=10.928333333333333,r=4583
layer_num=1788,v=10.93,r=4582
layer_num=1789,v=10.931666666666667,r=4581
layer_num=1790,v=10.933333333333334,r=4580
layer_num=1791,v=10.934999999999999,r=4579
layer_num=1792,v=10.936666666666666,r=4578
layer_num=1793,v=10.938333333333333,r=4577
layer_num=1794,v=10.94,r=4576
layer_num=1795,v=10.941666666666666,r=4575
layer_num=1796,v=10.943333333333333,r=4574
layer_num=1797,v=10.945,r=4573
layer_num=1798,v=10.946666666666665,r=4572
layer_num=1799,v=10.948333333333332,r=4571
layer_num=1800,v=10.95,r=4570
layer_num=1801,v=10.951666666666666,r=4569
layer_num=1802,v=10.953333333333333,r=4568
layer_num=1803,v=10.955,r=4567
layer_num=1804,v=10.956666666666667,r=4566
layer_num=1805,v=10.958333333333332,r=4565
layer_num=1806,v=10.959999999999999,r=4564
layer_num=1807,v=10.961666666666666,r=4563
layer_num=1808,v=10.963333333333333,r=4562
layer_num=1809,v=10.965,r=4561
layer_num=1810,v=10.966666666666667,r=4560
layer_num=1811,v=10.968333333333334,r=4559
layer_num=1812,v=10.969999999999999,r=4558
layer_num=1813,v=10.971666666666666,r=4557
layer_num=1814,v=10.973333333333333,r=4556
layer_num=1815,v=10.975,r=4555
layer_num=1816,v=10.976666666666667,r=4554
layer_num=1817,v=10.978333333333332,r=4553
layer_num=1818,v=10.98,r=4552
layer_num=1819,v=10.981666666666666,r=4551
layer_num=1820,v=10.983333333333333,r=4550
layer_num=1821,v=10.985,r=4549
layer_num=1822,v=10.986666666666666,r=4548
layer_num=1823,v=10.988333333333333,r=4547
layer_num=1824,v=10.989999999999998,r=4546
layer_num=1825,v=10.991666666666667,r=4545
layer_num=1826,v=10.993333333333332,r=4544
layer_num=1827,v=10.995,r=4543
layer_num=1828,v=10.996666666666666,r=4542
layer_num=1829,v=10.998333333333333,r=4541
layer_num=1830,v=11.0,r=4540
layer_num=1831,v=11.001666666666665,r=4539
layer_num=1832,v=11.003333333333334,r=4538
layer_num=1833,v=11.004999999999999,r=4537
layer_num=1834,v=11.006666666666666,r=4536
layer_num=1835,v=11.008333333333333,r=4535
layer_num=1836,v=11.01,r=4534
layer_num=1837,v=11.011666666666667,r=4533
layer_num=1838,v=11.013333333333332,r=4532
layer_num=1839,v=11.015,r=4531
layer_num=1840,v=11.016666666666666,r=4530
layer_num=1841,v=11.018333333333333,r=4529
layer_num=1842,v=11.02,r=4528
layer_num=1843,v=11.021666666666667,r=4527
layer_num=1844,v=11.023333333333333,r=4526
layer_num=1845,v=11.024999999999999,r=4525
layer_num=1846,v=11.026666666666666,r=4524
layer_num=1847,v=11.028333333333332,r=4523
layer_num=1848,v=11.03,r=4522
layer_num=1849,v=11.031666666666666,r=4521
layer_num=1850,v=11.033333333333333,r=4520
layer_num=1851,v=11.035,r=4519
layer_num=1852,v=11.036666666666665,r=4518
layer_num=1853,v=11.038333333333332,r=4517
layer_num=1854,v=11.04,r=4516
layer_num=1855,v=11.041666666666666,r=4515
layer_num=1856,v=11.043333333333333,r=4514
layer_num=1857,v=11.045,r=4513
layer_num=1858,v=11.046666666666667,r=4512
layer_num=1859,v=11.048333333333332,r=4511
layer_num=1860,v=11.049999999999999,r=4510
layer_num=1861,v=11.051666666666666,r=4509
layer_num=1862,v=11.053333333333333,r=4508
layer_num=1863,v=11.055,r=4507
layer_num=1864,v=11.056666666666667,r=4506
layer_num=1865,v=11.058333333333334,r=4505
layer_num=1866,v=11.059999999999999,r=4504
layer_num=1867,v=11.061666666666666,r=4503
layer_num=1868,v=11.063333333333333,r=4502
layer_num=1869,v=11.065,r=4501
layer_num=1870,v=11.066666666666666,r=4500
layer_num=1871,v=11.068333333333333,r=4499
layer_num=1872,v=11.07,r=4498
layer_num=1873,v=11.071666666666665,r=4497
layer_num=1874,v=11.073333333333332,r=4496
layer_num=1875,v=11.075,r=4495
layer_num=1876,v=11.076666666666666,r=4494
layer_num=1877,v=11.078333333333333,r=4493
layer_num=1878,v=11.08,r=4492
layer_num=1879,v=11.081666666666667,r=4491
layer_num=1880,v=11.083333333333332,r=4490
layer_num=1881,v=11.084999999999999,r=4489
layer_num=1882,v=11.086666666666666,r=4488
layer_num=1883,v=11.088333333333333,r=4487
layer_num=1884,v=11.09,r=4486
layer_num=1885,v=11.091666666666667,r=4485
layer_num=1886,v=11.093333333333334,r=4484
layer_num=1887,v=11.094999999999999,r=4483
layer_num=1888,v=11.096666666666666,r=4482
layer_num=1889,v=11.098333333333333,r=4481
layer_num=1890,v=11.1,r=4480
layer_num=1891,v=11.101666666666667,r=4479
layer_num=1892,v=11.103333333333332,r=4478
layer_num=1893,v=11.105,r=4477
layer_num=1894,v=11.106666666666666,r=4476
layer_num=1895,v=11.108333333333333,r=4475
layer_num=1896,v=11.11,r=4474
layer_num=1897,v=11.111666666666666,r=4473
layer_num=1898,v=11.113333333333333,r=4472
layer_num=1899,v=11.114999999999998,r=4471
layer_num=1900,v=11.116666666666667,r=4470
layer_num=1901,v=11.118333333333332,r=4469
layer_num=1902,v=11.12,r=4468
layer_num=1903,v=11.121666666666666,r=4467
layer_num=1904,v=11.123333333333333,r=4466
layer_num=1905,v=11.125,r=4465
layer_num=1906,v=11.126666666666665,r=4464
layer_num=1907,v=11.128333333333334,r=4463
layer_num=1908,v=11.129999999999999,r=4462
layer_num=1909,v=11.131666666666666,r=4461
layer_num=1910,v=11.133333333333333,r=4460
layer_num=1911,v=11.135,r=4459
layer_num=1912,v=11.136666666666667,r=4458
layer_num=1913,v=11.138333333333332,r=4457
layer_num=1914,v=11.14,r=4456
layer_num=1915,v=11.141666666666666,r=4455
layer_num=1916,v=11.143333333333333,r=4454
layer_num=1917,v=11.145,r=4453
layer_num=1918,v=11.146666666666667,r=4452
layer_num=1919,v=11.148333333333333,r=4451
layer_num=1920,v=11.149999999999999,r=4450
layer_num=1921,v=11.151666666666666,r=4449
layer_num=1922,v=11.153333333333332,r=4448
layer_num=1923,v=11.155,r=4447
layer_num=1924,v=11.156666666666666,r=4446
layer_num=1925,v=11.158333333333333,r=4445
layer_num=1926,v=11.16,r=4444
layer_num=1927,v=11.161666666666665,r=4443
layer_num=1928,v=11.163333333333332,r=4442
layer_num=1929,v=11.165,r=4441
layer_num=1930,v=11.166666666666666,r=4440
layer_num=1931,v=11.168333333333333,r=4439
layer_num=1932,v=11.17,r=4438
layer_num=1933,v=11.171666666666667,r=4437
layer_num=1934,v=11.173333333333332,r=4436
layer_num=1935,v=11.174999999999999,r=4435
layer_num=1936,v=11.176666666666666,r=4434
layer_num=1937,v=11.178333333333333,r=4433
layer_num=1938,v=11.18,r=4432
layer_num=1939,v=11.181666666666667,r=4431
layer_num=1940,v=11.183333333333334,r=4430
layer_num=1941,v=11.184999999999999,r=4429
layer_num=1942,v=11.186666666666666,r=4428
layer_num=1943,v=11.188333333333333,r=4427
layer_num=1944,v=11.19,r=4426
layer_num=1945,v=11.191666666666666,r=4425
layer_num=1946,v=11.193333333333333,r=4424
layer_num=1947,v=11.195,r=4423
layer_num=1948,v=11.196666666666665,r=4422
layer_num=1949,v=11.198333333333332,r=4421
layer_num=1950,v=11.2,r=4420
layer_num=1951,v=11.201666666666666,r=4419
layer_num=1952,v=11.203333333333333,r=4418
layer_num=1953,v=11.205,r=4417
layer_num=1954,v=11.206666666666667,r=4416
layer_num=1955,v=11.208333333333332,r=4415
layer_num=1956,v=11.209999999999999,r=4414
layer_num=1957,v=11.211666666666666,r=4413
layer_num=1958,v=11.213333333333333,r=4412
layer_num=1959,v=11.215,r=4411
layer_num=1960,v=11.216666666666667,r=4410
layer_num=1961,v=11.218333333333334,r=4409
layer_num=1962,v=11.219999999999999,r=4408
layer_num=1963,v=11.221666666666666,r=4407
layer_num=1964,v=11.223333333333333,r=4406
layer_num=1965,v=11.225,r=4405
layer_num=1966,v=11.226666666666667,r=4404
layer_num=1967,v=11.228333333333332,r=4403
layer_num=1968,v=11.23,r=4402
layer_num=1969,v=11.231666666666666,r=4401
layer_num=1970,v=11.233333333333333,r=4400
layer_num=1971,v=11.235,r=4399
layer_num=1972,v=11.236666666666666,r=4398
layer_num=1973,v=11.238333333333333,r=4397
layer_num=1974,v=11.239999999999998,r=4396
layer_num=1975,v=11.241666666666667,r=4395
layer_num=1976,v=11.243333333333332,r=4394
layer_num=1977,v=11.245,r=4393
layer_num=1978,v=11.246666666666666,r=4392
